course_slug,assessment_id,question_text,simplified_text,question_type,correct_answer,options,difficulty_level
digital_marketing,,Marketing aims to satisfy the customer and achieve what for the company?,Marketing satisfies customers and what for company?,multiple_choice,C,"[""Increase production costs"", ""Decrease market share"", ""Be profitable"", ""Reduce product quality""]",1
digital_marketing,,How is digital marketing primarily defined?,What is digital marketing?,multiple_choice,B,"[""Selling products exclusively online"", ""Applying marketing using technology"", ""Creating social media campaigns"", ""Only traditional marketing""]",1
digital_marketing,,What is the main purpose of marketing research?,What is marketing research for?,multiple_choice,B,"[""To advertise new products"", ""To collect and analyze information to solve a specific problem"", ""To directly sell to customers"", ""To manage company finances""]",1
digital_marketing,,What is the primary mission of branding?,What is branding's main job?,multiple_choice,D,"[""To set product prices"", ""To distribute products to stores"", ""To manage customer complaints"", ""To create a mental and emotional image of a product or service""]",1
digital_marketing,,How does market research differ from marketing research in terms of focus?,Market research vs. marketing research: What's their main difference?,multiple_choice,A,"[""Market research focuses on market size and segments, while marketing research can examine ad effectiveness and brand elements"", ""Market research focuses on ad effectiveness, while marketing research focuses on market size"", ""They are identical terms and can be used interchangeably"", ""Market research is only for online markets, marketing research is for traditional markets""]",2
digital_marketing,,What is the primary distinction between the roles of a Data Engineer and a Data Analyst in digital marketing?,Data Engineer vs. Data Analyst: What's their main difference?,multiple_choice,A,"[""Data Engineers define the setup for data collection, while Data Analysts work on prepared data to extract insights"", ""Data Engineers analyze data, while Data Analysts collect it"", ""Data Engineers only work with social media data, Data Analysts work with all data"", ""Data Engineers are senior to Data Analysts in all companies""]",2
digital_marketing,,How do email marketers ensure their strategy aligns with the company's overall message?,How do email marketers match company's message?,multiple_choice,C,"[""By working independently on all campaigns"", ""By only sending promotional emails"", ""By collaborating with the entire marketing team"", ""By focusing solely on customer acquisition""]",2
digital_marketing,,"What is the purpose of the ""Strategy"" stage within the strategic marketing plan?","What is the ""Strategy"" part of a marketing plan?",multiple_choice,D,"[""To define who will do what and when"", ""To analyze the current situation of the brand"", ""To set up reporting systems and follow-up meetings"", ""To outline how to move from the current situation to the desired objectives""]",2
digital_marketing,,"During a political campaign, messages are tailored to specific voter segments based on their psychological profiles. Which digital marketing technique is being applied?",Tailoring messages for specific voter groups. What technique is this?,multiple_choice,C,"[""Broad demographic advertising"", ""Mass media outreach"", ""Microtargeting"", ""General public relations""]",3
digital_marketing,,An SEO specialist identifies keywords with high monthly search volume and low difficulty. What is the next logical step in optimizing a website page for these keywords?,SEO finds good keywords. What happens next for the website?,multiple_choice,B,"[""Immediately launch paid ads for these keywords"", ""Create specific content for each keyword and strategically place them on the website"", ""Focus solely on improving website speed"", ""Ignore off-page SEO entirely""]",3
digital_marketing,,"A company explicitly states that ""every interaction with our service will be seamless and satisfying."" Which branding element is this company emphasizing?","Company promises 'easy, happy service.' What branding element is this?",multiple_choice,A,"[""Brand Promise"", ""Brand Values"", ""Brand Definition"", ""Brand Identity""]",3
digital_marketing,,"A social media group for a brand has many active members. The brand wants to ensure interactions remain positive and on-brand, even when customers are angry. Which role is primarily responsible for setting the guidelines for these interactions?",Who sets rules for social media groups to keep talks positive?,multiple_choice,D,"[""Content Writer"", ""Graphic Designer"", ""Media Buyer"", ""Community Manager""]",3
digital_marketing,,"In the context of the evolving marketing landscape, how has the relationship between traditional and digital marketing changed?",How did traditional and digital marketing change together?,multiple_choice,A,"[""They have become increasingly integrated, with digital often taking a primary role in some projects"", ""Digital marketing has completely replaced traditional marketing"", ""Traditional marketing now solely focuses on online ads"", ""Digital marketing is only used for small companies, traditional for large ones""]",4
digital_marketing,,"While both write content, what distinguishes a Copywriter's primary focus from a Content Writer's?",Copywriter vs. Content Writer: What's their main difference?,multiple_choice,B,"[""Copywriters write technical manuals, Content Writers write product names"", ""Copywriters focus on persuasive advertising and SEO, while Content Writers provide useful, informative, or entertaining content"", ""Copywriters only work for traditional ads, Content Writers only for digital"", ""Content Writers need high social intelligence, Copywriters need high IQ""]",4
digital_marketing,,What is the primary relationship between an Affiliate Marketing Manager and an Affiliate Marketer?,Affiliate Manager vs. Affiliate Marketer: How do they work together?,multiple_choice,C,"[""The Affiliate Marketer sets the overall policies for the program"", ""They both perform the same tasks but for different brands"", ""The Affiliate Marketing Manager sets policies and guidelines for the Affiliate Marketer to follow"", ""The Affiliate Marketer directly manages the Affiliate Marketing Manager""]",4
digital_marketing,,"A company wants to understand customer behavior both on and off its social media pages, including their website visits and purchases. Which type of data is most crucial for this comprehensive understanding?",Company wants to know customer online and offline actions. What data is key?,multiple_choice,D,"[""Only demographic data"", ""Geographic data"", ""Third-party data only"", ""Behavioral data (on-premise and off-premise)""]",4
digital_marketing,,"Why is the ""Control/Measurement Plan"" stage critical in a strategic marketing plan?","Why is the ""Control Plan"" important in marketing?",multiple_choice,A,"[""It defines KPIs, monitors results, and allows for adjustments and alternative plans if goals are not met"", ""It ensures that only traditional marketing methods are used"", ""It's where the initial budget is allocated"", ""It is solely focused on generating new ideas for content""]",5
digital_marketing,,"Given that visual content is highlighted as a powerful influence on audiences, why do large companies allocate a significant portion of their marketing budget to video ad production and distribution?",Why do big companies spend a lot on video ads?,multiple_choice,B,"[""Because video ads are the cheapest form of advertising"", ""To influence audiences powerfully and effectively"", ""To avoid traditional marketing altogether"", ""Because only small companies use text-based ads""]",5
digital_marketing,,"The transcript emphasizes that a digital marketing professional needs ""love of continuous learning."" Why is this skill particularly vital in the digital marketing field?",Why is always learning key for digital marketing?,multiple_choice,C,"[""Because the field rarely changes"", ""To avoid needing IT tools"", ""Due to the rapid and significant developments and changes in the field"", ""To specialize in only one narrow aspect of marketing""]",5
digital_marketing,,"If a brand wants to ensure potential customers perceive its identity through all five senses (sight, sound, touch, smell, and feel), which branding element would be most critical to meticulously develop?",What branding part helps customers use all senses?,multiple_choice,D,"[""Brand Definition"", ""Brand Values"", ""Brand Promise"", ""Brand Identity""]",5
embedded,,What is the CPU considered to be in any machine?,What is CPU called in a machine?,multiple_choice,B,"[""The Memory"", ""The Brain"", ""The Periphery"", ""The Bus""]",1
