question_id,assessment_id,question_text,question_type,correct_answer,options,difficulty_level
q_assessment_digital_marketing_1_0,assessment_digital_marketing,Intro: Why is 'VID09_Content writer & Copywriter' important for Digital Marketing?,multiple_choice,A,It builds core foundations|It is an optional trivia|It is only for experts|It has no practical use,1
q_assessment_digital_marketing_1_1,assessment_digital_marketing,"Intro: In the context of Digital Marketing, what does 'VID07_Marketing implementation (SEO, Affiliate Marketing)' typically cover?",multiple_choice,A,Fundamental principles|Hardware maintenance|Social media trends|Cooking techniques,1
q_assessment_digital_marketing_1_2,assessment_digital_marketing,"Intro: Which of the following is a key takeaway from 'VID03_Market research, Marketing research'?",multiple_choice,A,Practical implementation|Random guessing|Ignoring errors|Using outdated tools,1
q_assessment_digital_marketing_1_3,assessment_digital_marketing,Intro: Which of the following is a key takeaway from 'VID05_Marketing strategy'?,multiple_choice,A,Practical implementation|Random guessing|Ignoring errors|Using outdated tools,1
q_assessment_digital_marketing_1_4,assessment_digital_marketing,Intro: Which of the following is a key takeaway from 'VID02_Marketing Vs Digital Marketing'?,multiple_choice,A,Practical implementation|Random guessing|Ignoring errors|Using outdated tools,1
q_assessment_digital_marketing_2_0,assessment_digital_marketing,Intro: What is the main focus of 'VID09_Content writer & Copywriter'?,multiple_choice,A,Basic concepts|Advanced optimization|Historical context|Legal regulations,2
q_assessment_digital_marketing_2_1,assessment_digital_marketing,"Intro: In the context of Digital Marketing, what does 'VID04_Collecting data' typically cover?",multiple_choice,A,Fundamental principles|Hardware maintenance|Social media trends|Cooking techniques,2
q_assessment_digital_marketing_2_2,assessment_digital_marketing,Intro: Which of the following is a key takeaway from 'VID01_ Welcome to Digital Marketing Introduction course'?,multiple_choice,A,Practical implementation|Random guessing|Ignoring errors|Using outdated tools,2
q_assessment_digital_marketing_2_3,assessment_digital_marketing,"Intro: What is the main focus of 'VID06_Marketing implementation (Social Media, Email Marketing)'?",multiple_choice,A,Basic concepts|Advanced optimization|Historical context|Legal regulations,2
q_assessment_digital_marketing_3_0,assessment_digital_marketing,Which of the following is a key takeaway from 'VID02_Marketing Vs Digital Marketing'?,multiple_choice,A,Practical implementation|Random guessing|Ignoring errors|Using outdated tools,3
q_assessment_digital_marketing_3_1,assessment_digital_marketing,"Why is 'VID03_Market research, Marketing research' important for Digital Marketing?",multiple_choice,A,It builds core foundations|It is an optional trivia|It is only for experts|It has no practical use,3
q_assessment_digital_marketing_3_2,assessment_digital_marketing,"Why is 'VID06_Marketing implementation (Social Media, Email Marketing)' important for Digital Marketing?",multiple_choice,A,It builds core foundations|It is an optional trivia|It is only for experts|It has no practical use,3
q_assessment_digital_marketing_3_3,assessment_digital_marketing,What is the main focus of 'VID09_Content writer & Copywriter'?,multiple_choice,A,Basic concepts|Advanced optimization|Historical context|Legal regulations,3
q_assessment_digital_marketing_3_4,assessment_digital_marketing,"In the context of Digital Marketing, what does 'VID09_Content writer & Copywriter' typically cover?",multiple_choice,A,Fundamental principles|Hardware maintenance|Social media trends|Cooking techniques,3
q_assessment_digital_marketing_3_5,assessment_digital_marketing,Which of the following is a key takeaway from 'VID04_Collecting data'?,multiple_choice,A,Practical implementation|Random guessing|Ignoring errors|Using outdated tools,3
q_assessment_digital_marketing_4_0,assessment_digital_marketing,Advanced: What is the main focus of 'VID01_ Welcome to Digital Marketing Introduction course'?,multiple_choice,A,Basic concepts|Advanced optimization|Historical context|Legal regulations,4
q_assessment_digital_marketing_4_1,assessment_digital_marketing,Advanced: Why is 'VID11_Branding' important for Digital Marketing?,multiple_choice,A,It builds core foundations|It is an optional trivia|It is only for experts|It has no practical use,4
q_assessment_digital_marketing_4_2,assessment_digital_marketing,"Advanced: In the context of Digital Marketing, what does 'VID12_Skills You Need' typically cover?",multiple_choice,A,Fundamental principles|Hardware maintenance|Social media trends|Cooking techniques,4
q_assessment_digital_marketing_4_3,assessment_digital_marketing,Advanced: What is the main focus of 'VID02_Marketing Vs Digital Marketing'?,multiple_choice,A,Basic concepts|Advanced optimization|Historical context|Legal regulations,4
