user_id,disability_type,activity_tier,education_level,signup_days_ago,pref_high_contrast,pref_screen_reader,pref_sign_language,pref_tts,pref_simplified_mode
user_0,hearing,power,bachelor,4,False,False,True,False,False
user_1,visual,casual,secondary,2,True,False,False,False,False
user_2,visual,casual,secondary,3,True,True,False,True,False
user_3,motor,casual,secondary,3,False,False,False,True,False
user_4,cognitive,casual,diploma,0,False,False,False,False,True
user_5,visual,dormant,postgraduate,3,True,True,False,True,False
user_6,visual,casual,bachelor,3,True,True,False,False,False
user_7,visual,regular,secondary,5,True,True,False,True,False
user_8,cognitive,casual,secondary,3,False,False,False,False,True
user_9,visual,casual,secondary,4,True,True,False,False,False
user_10,hearing,casual,diploma,0,False,False,True,False,True
user_11,visual,casual,secondary,6,False,False,False,False,False
user_12,cognitive,dormant,secondary,0,False,False,False,False,False
user_13,hearing,dormant,secondary,5,False,False,True,False,False
user_14,motor,power,diploma,4,False,False,False,False,False
user_15,motor,casual,secondary,2,False,False,False,False,False
user_16,visual,casual,secondary,6,True,True,False,False,False
user_17,visual,regular,diploma,4,True,True,False,True,False
user_18,visual,power,bachelor,0,True,True,False,True,False
user_19,hearing,power,secondary,6,False,False,False,False,False
user_20,visual,casual,diploma,3,True,True,False,True,False
user_21,motor,casual,bachelor,1,False,False,False,True,False
user_22,hearing,regular,bachelor,0,False,False,True,False,True
user_23,visual,regular,bachelor,4,True,True,False,False,False
user_24,motor,dormant,secondary,0,False,False,False,False,False
user_25,motor,casual,diploma,6,False,False,False,False,False
user_26,visual,regular,secondary,3,False,True,False,False,False
user_27,cognitive,casual,diploma,4,False,False,False,True,False
user_28,visual,regular,bachelor,3,True,True,False,False,False
user_29,hearing,power,secondary,3,False,False,False,False,True
user_30,motor,regular,secondary,1,False,False,False,False,False
user_31,visual,power,postgraduate,4,False,True,False,True,False
user_32,hearing,regular,bachelor,5,False,False,False,False,False
user_33,visual,casual,bachelor,3,True,True,False,False,False
user_34,cognitive,casual,secondary,1,False,False,False,False,True
user_35,visual,regular,secondary,4,True,True,False,False,False
user_36,motor,casual,diploma,2,False,False,False,True,True
user_37,visual,power,secondary,5,False,True,False,True,False
user_38,motor,regular,bachelor,3,False,False,False,False,True
user_39,visual,regular,secondary,3,True,True,False,False,False
user_40,motor,power,secondary,5,False,False,False,False,False
user_41,cognitive,casual,secondary,6,False,False,False,False,True
user_42,hearing,casual,bachelor,2,False,False,True,False,True
user_43,motor,power,secondary,2,False,False,False,True,True
user_44,cognitive,casual,bachelor,6,False,False,False,False,True
user_45,cognitive,power,postgraduate,1,False,False,False,False,True
user_46,visual,dormant,secondary,5,False,True,False,True,False
user_47,visual,regular,secondary,0,True,False,False,False,False
user_48,cognitive,casual,secondary,6,False,False,False,True,True
user_49,motor,regular,secondary,4,False,False,False,False,False
user_50,visual,casual,bachelor,3,True,False,False,False,False
user_51,visual,casual,diploma,1,True,True,False,False,False
user_52,cognitive,regular,diploma,1,False,False,False,False,False
user_53,visual,dormant,secondary,4,True,False,False,False,False
user_54,motor,regular,diploma,3,False,False,False,False,True
user_55,visual,casual,secondary,6,True,False,False,False,False
user_56,hearing,dormant,diploma,6,False,False,True,False,False
user_57,motor,dormant,postgraduate,3,False,False,False,True,False
user_58,motor,regular,bachelor,4,False,False,False,False,False
user_59,cognitive,power,bachelor,2,False,False,False,False,False
user_60,motor,casual,bachelor,2,False,False,False,False,False
user_61,cognitive,power,secondary,4,False,False,False,True,True
user_62,visual,regular,secondary,1,True,False,False,True,False
user_63,cognitive,casual,secondary,4,False,False,False,False,True
user_64,visual,casual,postgraduate,3,True,False,False,False,False
user_65,cognitive,casual,secondary,6,False,False,False,False,True
user_66,motor,casual,bachelor,6,False,False,False,False,True
user_67,cognitive,regular,bachelor,5,False,False,False,True,True
user_68,visual,power,bachelor,0,True,False,False,False,False
user_69,motor,regular,diploma,2,False,False,False,False,False
user_70,visual,power,bachelor,6,True,True,False,True,False
user_71,motor,casual,bachelor,2,False,False,False,False,False
user_72,motor,regular,bachelor,5,False,False,False,True,False
user_73,visual,regular,bachelor,4,True,True,False,False,False
user_74,cognitive,power,secondary,6,False,False,False,False,False
user_75,hearing,dormant,bachelor,5,False,False,False,False,True
user_76,hearing,casual,secondary,1,False,False,True,False,True
user_77,visual,casual,bachelor,0,True,True,False,True,False
user_78,hearing,dormant,diploma,4,False,False,False,False,True
user_79,cognitive,dormant,bachelor,5,False,False,False,False,False
user_80,visual,regular,secondary,6,True,False,False,True,False
user_81,motor,regular,postgraduate,0,False,False,False,False,False
user_82,visual,casual,secondary,4,True,True,False,True,False
user_83,hearing,regular,secondary,0,False,False,True,False,False
user_84,visual,casual,diploma,4,True,True,False,False,False
user_85,cognitive,power,bachelor,6,False,False,False,True,False
user_86,cognitive,regular,secondary,0,False,False,False,False,False
user_87,cognitive,casual,bachelor,0,False,False,False,False,False
user_88,cognitive,casual,diploma,0,False,False,False,True,True
user_89,motor,regular,bachelor,2,False,False,False,False,False
user_90,cognitive,regular,secondary,5,False,False,False,True,True
user_91,visual,casual,bachelor,1,True,True,False,False,False
user_92,motor,regular,diploma,3,False,False,False,False,False
user_93,visual,regular,diploma,6,True,False,False,False,False
user_94,motor,casual,secondary,3,False,False,False,False,False
user_95,motor,regular,secondary,1,False,False,False,True,False
user_96,cognitive,casual,bachelor,2,False,False,False,False,True
user_97,hearing,regular,bachelor,3,False,False,True,False,False
user_98,hearing,casual,bachelor,2,False,False,True,False,True
user_99,visual,casual,secondary,3,True,True,False,False,False
